,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_batch_size,param_epochs,param_num_neurons,param_optimizer,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
2110,1.4530193010965984,0.0441919259926674,0.15623887379964194,0.012757856411096818,sigmoid,50,10,16,Adadelta,"{'activation': 'sigmoid', 'batch_size': 50, 'epochs': 10, 'num_neurons': 16, 'optimizer': 'Adadelta'}",-0.6510980874300003,-0.9896210439503192,-0.5244537174701691,-0.7217242829501629,0.19636056125813015,3005
2111,1.4686427116394043,0.0637855833639494,0.1510319709777832,0.019486418296274392,sigmoid,50,10,16,Adam,"{'activation': 'sigmoid', 'batch_size': 50, 'epochs': 10, 'num_neurons': 16, 'optimizer': 'Adam'}",-0.7143268138170242,-0.8624488179882367,-0.8055494844913482,-0.7941083720988699,0.06100932343780014,3183
2112,1.3644862174987793,0.02945946704382654,0.18748577435811362,0.05560299426776043,sigmoid,50,10,16,Adamax,"{'activation': 'sigmoid', 'batch_size': 50, 'epochs': 10, 'num_neurons': 16, 'optimizer': 'Adamax'}",-0.5902944415807724,-0.6804071426391601,-0.6664450983206431,-0.6457155608468585,0.039601010222108976,2446
2113,1.9113189379374187,0.20661745227702596,0.14061554272969565,2.5106380778839294e-06,sigmoid,50,10,16,Nadam,"{'activation': 'sigmoid', 'batch_size': 50, 'epochs': 10, 'num_neurons': 16, 'optimizer': 'Nadam'}",-0.6277402559916179,-0.6745836873849232,-0.5697231814265251,-0.6240157082676888,0.04289005804980669,2244
2114,1.1926195621490479,0.014729986382663648,0.16665752728780112,0.014729761604617081,sigmoid,50,10,32,SGD,"{'activation': 'sigmoid', 'batch_size': 50, 'epochs': 10, 'num_neurons': 32, 'optimizer': 'SGD'}",-0.7265050947666168,-0.6761151224374771,-0.6370359987020493,-0.6798854053020479,0.036622771261533085,2713
2115,1.4350442091623943,0.02297209670942303,0.18227831522623697,0.07025842613815088,sigmoid,50,10,32,RMSprop,"{'activation': 'sigmoid', 'batch_size': 50, 'epochs': 10, 'num_neurons': 32, 'optimizer': 'RMSprop'}",-0.6643064786990484,-0.7404978399475416,-0.5493450989325841,-0.651383139193058,0.07857099603701598,2490
2116,1.2801755269368489,0.06614373768398768,0.14061633745829263,3.265164468157154e-06,sigmoid,50,10,32,Adagrad,"{'activation': 'sigmoid', 'batch_size': 50, 'epochs': 10, 'num_neurons': 32, 'optimizer': 'Adagrad'}",-0.5639177660147349,-0.5311925550301869,-0.39241182257731755,-0.4958407145407464,0.07434552946919665,740
2117,1.390523354212443,0.022094670503270263,0.16144943237304688,0.007366763641092487,sigmoid,50,10,32,Adadelta,"{'activation': 'sigmoid', 'batch_size': 50, 'epochs': 10, 'num_neurons': 32, 'optimizer': 'Adadelta'}",-0.6395576576391856,-0.7528806919852893,-0.6170682678620021,-0.669835539162159,0.059435209647146145,2636
2118,1.604050874710083,0.041004805564632416,0.16144482294718424,0.019487459439377883,sigmoid,50,10,32,Adam,"{'activation': 'sigmoid', 'batch_size': 50, 'epochs': 10, 'num_neurons': 32, 'optimizer': 'Adam'}",-0.5846840918064118,-0.6265161524216334,-0.5933205922444661,-0.6015069454908372,0.018032241650899835,1997
2119,1.3436522483825684,0.09199194794378154,0.17186458905537924,0.0337482659229625,sigmoid,50,10,32,Adamax,"{'activation': 'sigmoid', 'batch_size': 50, 'epochs': 10, 'num_neurons': 32, 'optimizer': 'Adamax'}",-0.608632825811704,-0.7350613683462143,-0.6145981281995774,-0.6527641074524986,0.05824388706751938,2500
2120,1.8019525210062664,0.04829641134266865,0.1510324478149414,0.007363897394981014,sigmoid,50,10,32,Nadam,"{'activation': 'sigmoid', 'batch_size': 50, 'epochs': 10, 'num_neurons': 32, 'optimizer': 'Nadam'}",-0.9488841344912847,-0.6329598555962245,-0.6781941205263138,-0.7533460368712742,0.13949407489586768,3096
2121,1.0572129885355632,0.04480097816409274,0.1510320504506429,0.019486312095191433,sigmoid,50,10,64,SGD,"{'activation': 'sigmoid', 'batch_size': 50, 'epochs': 10, 'num_neurons': 64, 'optimizer': 'SGD'}",-0.6967033962408702,-0.6954349875450134,-0.5438245395819347,-0.6453209744559394,0.0717706854467976,2443
2122,1.291569709777832,0.007367100584392198,0.14582459131876627,0.007365133743695619,sigmoid,50,10,64,RMSprop,"{'activation': 'sigmoid', 'batch_size': 50, 'epochs': 10, 'num_neurons': 64, 'optimizer': 'RMSprop'}",-0.6235294491052628,-0.6584309498469035,-0.4821481784184774,-0.5880361924568812,0.07621781211874555,1857
2123,1.2394909858703613,0.09050526110760014,0.1979032357533773,0.06420724403245587,sigmoid,50,10,64,Adagrad,"{'activation': 'sigmoid', 'batch_size': 50, 'epochs': 10, 'num_neurons': 64, 'optimizer': 'Adagrad'}",-0.5258637045820554,-0.610181272526582,-0.3948210949699084,-0.5102886906928487,0.08860751402504283,937
2124,1.777150313059489,0.11598838526017946,0.24302411079406738,0.08688643738587012,sigmoid,50,10,64,Adadelta,"{'activation': 'sigmoid', 'batch_size': 50, 'epochs': 10, 'num_neurons': 64, 'optimizer': 'Adadelta'}",-0.6133099526166916,-0.6191336671511333,-0.5989099413156509,-0.6104511870278253,0.008500163809647207,2097
2125,2.254711469014486,0.1303033834837366,0.18748815854390463,0.04599567703460416,sigmoid,50,10,64,Adam,"{'activation': 'sigmoid', 'batch_size': 50, 'epochs': 10, 'num_neurons': 64, 'optimizer': 'Adam'}",-0.5067895000179609,-0.626125858227412,-0.5997804224491119,-0.5775652602314949,0.05118871406823894,1750
2126,1.593631426493327,0.2213217867781452,0.14582379659016928,0.01948575988813607,sigmoid,50,10,64,Adamax,"{'activation': 'sigmoid', 'batch_size': 50, 'epochs': 10, 'num_neurons': 64, 'optimizer': 'Adamax'}",-0.6109540989001592,-0.549522751569748,-0.5228703091541926,-0.5611157198746999,0.03688257212282088,1581
2127,1.6561261018117268,0.09631056308199819,0.1666564146677653,0.014730042638597928,sigmoid,50,10,64,Nadam,"{'activation': 'sigmoid', 'batch_size': 50, 'epochs': 10, 'num_neurons': 64, 'optimizer': 'Nadam'}",-0.623310868938764,-0.6121002254386743,-0.5172595689694087,-0.584223554448949,0.04757135794712042,1820
2128,1.18220321337382,0.08960267692000405,0.1666579246520996,0.007366089193794796,sigmoid,50,10,128,SGD,"{'activation': 'sigmoid', 'batch_size': 50, 'epochs': 10, 'num_neurons': 128, 'optimizer': 'SGD'}",-0.6402290334304174,-0.6803120970726013,-0.628602593143781,-0.6497145745489332,0.0221502417876113,2476
2129,1.7238322099049885,0.637882676873279,0.2447791894276937,0.13641376085737938,sigmoid,50,10,128,RMSprop,"{'activation': 'sigmoid', 'batch_size': 50, 'epochs': 10, 'num_neurons': 128, 'optimizer': 'RMSprop'}",-0.5681934212644895,-0.6163391103347142,-0.47510202874739965,-0.5532115201155344,0.05862491691737245,1484
2130,3.197680870691935,0.20021859270790518,0.09374483426411946,1.251539846104274e-06,sigmoid,50,10,128,Adagrad,"{'activation': 'sigmoid', 'batch_size': 50, 'epochs': 10, 'num_neurons': 128, 'optimizer': 'Adagrad'}",-0.5134397879242897,-0.5297092843800784,-0.37482529679934184,-0.47265812303456994,0.06949638141951701,344
2131,3.5466079711914062,0.8286088967857758,0.13540959358215332,0.01948641840128923,sigmoid,50,10,128,Adadelta,"{'activation': 'sigmoid', 'batch_size': 50, 'epochs': 10, 'num_neurons': 128, 'optimizer': 'Adadelta'}",-0.5326446940501531,-0.6649566709995269,-0.4659857526421547,-0.5545290392306116,0.08269038642622295,1499
